,ad8.pdb,ad30.pdb,ad42.pdb,ad24.pdb,ad35.pdb,ad18.pdb,ad48.pdb,ad34.pdb,ad13.pdb,ad20.pdb,ad6.pdb,ad27.pdb,ad44.pdb,ad32.pdb,ad9.pdb,ad1.pdb,ad31.pdb,ad33.pdb,ad10.pdb,ad2.pdb,ad38.pdb,ad49.pdb,ad43.pdb,ad47.pdb,ad17.pdb,ad23.pdb,ad26.pdb,ad3.pdb,ad46.pdb,ad11.pdb,ad36.pdb,ad37.pdb,ad25.pdb,ad39.pdb,ad15.pdb,ad14.pdb,ad7.pdb,ad40.pdb,ad4.pdb,ad21.pdb,ad41.pdb,ad0.pdb,ad45.pdb,ad19.pdb,ad5.pdb,ad28.pdb,ad12.pdb,ad22.pdb,ad29.pdb,ad16.pdb
ad8.pdb,0.0,36.269630432128906,30.986753463745117,5.1352081298828125,33.35371780395508,5.1165690422058105,31.55484390258789,14.196938514709473,12.040151596069336,35.89202117919922,5.004965782165527,5.0116071701049805,36.333335876464844,12.300901412963867,33.11506652832031,4.984942436218262,11.514174461364746,34.63899230957031,13.521605491638184,30.246051788330078,6.529594898223877,36.05426025390625,6.023444652557373,14.454949378967285,32.71194839477539,6.3933844566345215,33.20905303955078,36.5706901550293,34.88543701171875,5.772548198699951,28.83481216430664,30.238548278808594,36.1780891418457,33.40705108642578,33.57828140258789,14.582754135131836,5.619305610656738,32.07572555541992,31.731815338134766,12.476819038391113,28.077852249145508,6.516172885894775,14.4042329788208,6.381597995758057,36.19111251831055,13.290725708007812,6.480883598327637,30.88331413269043,36.25670623779297,6.072386264801025
ad30.pdb,36.269630432128906,0.0,28.83657455444336,35.12409210205078,5.860072612762451,34.9102668762207,10.707307815551758,40.56273651123047,32.1075325012207,3.426401376724243,35.20072937011719,35.585750579833984,0.7446039915084839,32.02047348022461,11.577953338623047,35.170894622802734,40.6771354675293,32.724971771240234,40.590797424316406,42.38447952270508,33.39124298095703,0.7022489309310913,33.79077911376953,40.46760177612305,7.632143974304199,33.366851806640625,11.734894752502441,2.9137110710144043,4.054360866546631,34.43230056762695,31.95594596862793,42.28025817871094,1.640462040901184,5.868150234222412,6.091710567474365,40.61137771606445,35.90813064575195,30.464994430541992,10.656294822692871,32.234947204589844,46.36594772338867,33.27643966674805,40.62928771972656,33.425296783447266,0.7903215289115906,40.72914123535156,33.41981506347656,28.887025833129883,0.26290977001190186,33.68536376953125
ad42.pdb,30.986753463745117,28.83657455444336,0.0,30.01560401916504,25.878108978271484,30.612964630126953,25.03651237487793,31.493362426757812,27.143503189086914,28.917348861694336,30.14292335510254,31.520402908325195,28.647357940673828,27.122634887695312,33.09974670410156,30.018596649169922,33.69401931762695,9.52541446685791,33.39040756225586,30.93730354309082,30.2705078125,28.49302864074707,30.21971893310547,31.388458251953125,26.339073181152344,30.186290740966797,33.1069221496582,29.38494300842285,28.099462509155273,30.07558250427246,5.602954387664795,31.148815155029297,27.74083137512207,25.8729190826416,25.90137481689453,31.440261840820312,29.713560104370117,28.772968292236328,24.93914794921875,27.148822784423828,28.485843658447266,30.094499588012695,31.50977897644043,30.245153427124023,28.754499435424805,33.52406311035156,30.098146438598633,0.3384532630443573,28.784011840820312,30.19588851928711
ad24.pdb,5.1352081298828125,35.12409210205078,30.01560401916504,0.0,32.0238037109375,1.4281272888183594,30.77747917175293,12.714552879333496,12.23189640045166,34.63675308227539,0.21694663166999817,1.9473549127578735,35.2296142578125,12.411199569702148,32.23539733886719,0.43669867515563965,11.37382984161377,32.97469711303711,12.56718921661377,28.438791275024414,3.8578174114227295,34.942867279052734,3.566713809967041,12.9811372756958,31.48353385925293,4.082620143890381,32.23698425292969,35.40924835205078,33.58684539794922,2.3546838760375977,27.7883243560791,28.40043830871582,35.06974792480469,32.136409759521484,32.339935302734375,13.119461059570312,4.328568458557129,29.829532623291016,30.94277572631836,12.663800239562988,26.72240447998047,4.170872211456299,12.93639850616455,3.950746774673462,35.0678825378418,12.427099227905273,3.539194107055664,29.919998168945312,35.12610626220703,3.718292713165283
ad35.pdb,33.35371780395508,5.860072612762451,25.878108978271484,32.0238037109375,0.0,31.895376205444336,12.237667083740234,36.71107864379883,30.037961959838867,4.292807579040527,32.10774230957031,32.587528228759766,5.893500328063965,29.915142059326172,14.72087287902832,32.06881332397461,36.89455795288086,29.317636489868164,36.70818328857422,37.6919059753418,30.309844970703125,5.701494216918945,30.783527374267578,36.58238220214844,3.1040701866149902,30.3349609375,14.749629020690918,5.40983772277832,2.9692561626434326,31.245698928833008,28.541906356811523,37.58324432373047,5.4540863037109375,0.912423312664032,1.8800076246261597,36.71342849731445,33.00587844848633,25.968769073486328,12.12156867980957,30.151981353759766,41.830326080322266,30.232860565185547,36.75292205810547,30.381425857543945,5.866514682769775,36.86201095581055,30.3335018157959,25.922101974487305,5.847353458404541,30.656049728393555
ad18.pdb,5.1165690422058105,34.9102668762207,30.612964630126953,1.4281272888183594,31.895376205444336,0.0,30.49591064453125,13.557233810424805,11.810138702392578,34.41558837890625,1.3379945755004883,1.426998257637024,35.018009185791016,11.984925270080566,31.72452735900879,1.458876132965088,12.113780975341797,33.713897705078125,13.386527061462402,29.298931121826172,3.237659454345703,34.735191345214844,2.967531204223633,13.832228660583496,31.357250213623047,3.4323086738586426,31.738380432128906,35.15873718261719,33.391849517822266,2.164970874786377,28.482666015625,29.266090393066406,34.87854766845703,32.00048828125,32.216949462890625,13.977688789367676,4.675040245056152,30.364456176757812,30.661819458007812,12.245967864990234,27.791593551635742,3.577690362930298,13.78773307800293,3.2370011806488037,34.86257553100586,13.23830509185791,3.0458312034606934,30.514936447143555,34.913177490234375,3.1254215240478516
ad48.pdb,31.55484390258789,10.707307815551758,25.03651237487793,30.77747917175293,12.237667083740234,30.49591064453125,0.0,38.02190017700195,24.805795669555664,11.444332122802734,30.83913230895996,31.312654495239258,10.59662914276123,24.6098575592041,9.140488624572754,30.795326232910156,38.28727340698242,30.77522850036621,38.513771057128906,43.361778259277344,29.218116760253906,10.53236198425293,29.568178176879883,38.03005599975586,13.994007110595703,29.26375961303711,9.150609970092773,11.375263214111328,11.72849178314209,30.235450744628906,27.90454864501953,43.35558319091797,10.462224006652832,12.354619026184082,12.590569496154785,38.19232177734375,31.081249237060547,34.191551208496094,0.6712008118629456,24.7424373626709,44.92510986328125,29.220338821411133,38.151206970214844,29.32716941833496,10.7203369140625,38.59877395629883,29.25120735168457,25.043668746948242,10.672012329101562,29.505847930908203
ad34.pdb,14.196938514709473,40.56273651123047,31.493362426757812,12.714552879333496,36.71107864379883,13.557233810424805,38.02190017700195,0.0,23.12085723876953,40.060630798339844,12.809462547302246,13.44875431060791,40.73286056518555,23.386154174804688,40.16250991821289,12.777671813964844,6.454530715942383,31.472003936767578,4.577164649963379,19.77720069885254,14.396454811096191,40.41682052612305,13.982809066772461,0.5658676624298096,35.81039047241211,14.154007911682129,40.211143493652344,40.87651443481445,38.84455108642578,13.008829116821289,28.936084747314453,19.722042083740234,40.42189407348633,36.80255889892578,36.948184967041016,0.7084804177284241,12.24712085723877,24.92327308654785,38.10636520385742,23.598190307617188,18.0581111907959,14.077627182006836,0.3934081792831421,14.062381744384766,40.49910354614258,4.798480033874512,14.130349159240723,31.458600997924805,40.59474182128906,13.985605239868164
ad13.pdb,12.040151596069336,32.1075325012207,27.143503189086914,12.23189640045166,30.037961959838867,11.810138702392578,24.805795669555664,23.12085723876953,0.0,31.841659545898438,12.2124662399292,12.633686065673828,32.07575988769531,1.8349308967590332,27.393911361694336,12.159104347229004,22.46173095703125,32.49607849121094,23.7719669342041,36.682456970214844,11.704700469970703,31.85505485534668,11.461019515991211,23.38979721069336,30.071407318115234,11.662463188171387,27.469154357910156,32.28786849975586,31.145761489868164,12.164728164672852,25.617088317871094,36.77170944213867,31.878597259521484,30.08243751525879,30.284608840942383,23.543970108032227,12.430327415466309,36.12059020996094,24.9554443359375,1.920853853225708,33.94814682006836,11.777328491210938,23.363327026367188,11.743921279907227,32.04606628417969,23.656702041625977,11.68779468536377,27.00345230102539,32.07297897338867,11.533270835876465
ad20.pdb,35.89202117919922,3.426401376724243,28.917348861694336,34.63675308227539,4.292807579040527,34.41558837890625,11.444332122802734,40.060630798339844,31.841659545898438,0.0,34.711090087890625,35.098453521728516,3.424286365509033,31.66838264465332,12.482434272766113,34.67757034301758,40.1044921875,32.67916488647461,39.99555969238281,41.74169921875,32.79158020019531,3.381843090057373,33.29829788208008,39.95912170410156,6.102285385131836,32.86068344116211,12.419388771057129,2.122706651687622,1.558052659034729,33.84245681762695,31.769559860229492,41.63117980957031,3.6402475833892822,4.515303134918213,4.585243225097656,40.10012435913086,35.57768630981445,29.744056701660156,11.337545394897461,31.892597198486328,45.838741302490234,32.77222442626953,40.12080383300781,32.9121208190918,3.4114744663238525,40.1415901184082,32.830726623535156,28.960735321044922,3.396057605743408,33.180755615234375
ad6.pdb,5.004965782165527,35.20072937011719,30.14292335510254,0.21694663166999817,32.10774230957031,1.3379945755004883,30.83913230895996,12.809462547302246,12.2124662399292,34.711090087890625,0.0,1.8115742206573486,35.30543518066406,12.388731002807617,32.27653884887695,0.4338459074497223,11.392169952392578,33.133174896240234,12.62423038482666,28.5723819732666,3.863077402114868,35.01925277709961,3.58616042137146,13.077096939086914,31.566911697387695,4.0960612297058105,32.27952575683594,35.48294448852539,33.66291427612305,2.4034950733184814,27.918535232543945,28.53313636779785,35.148189544677734,32.21950149536133,32.42475891113281,13.21444320678711,4.361169815063477,29.976852416992188,31.006072998046875,12.638181686401367,26.847980499267578,4.19111967086792,13.030526161193848,3.9622879028320312,35.14517593383789,12.479425430297852,3.5711238384246826,30.04695701599121,35.20233917236328,3.736445903778076
ad27.pdb,5.0116071701049805,35.585750579833984,31.520402908325195,1.9473549127578735,32.587528228759766,1.426998257637024,31.312654495239258,13.44875431060791,12.633686065673828,35.098453521728516,1.8115742206573486,0.0,35.6981086730957,12.806458473205566,32.366455078125,2.0351643562316895,11.643377304077148,34.48221206665039,13.030791282653809,29.31943702697754,3.42724609375,35.414222717285156,3.3512344360351562,13.73157787322998,31.986522674560547,3.7168447971343994,32.37155532836914,35.85751724243164,34.07065200805664,2.662605047225952,29.384429931640625,29.286012649536133,35.56661605834961,32.694297790527344,32.90324020385742,13.873533248901367,5.379932403564453,30.628536224365234,31.494447708129883,13.057123184204102,27.93303680419922,3.827298164367676,13.676015853881836,3.5725417137145996,35.535858154296875,12.871318817138672,3.354907751083374,31.424701690673828,35.59055709838867,3.4843106269836426
ad44.pdb,36.333335876464844,0.7446039915084839,28.647357940673828,35.2296142578125,5.893500328063965,35.018009185791016,10.59662914276123,40.73286056518555,32.07575988769531,3.424286365509033,35.30543518066406,35.6981086730957,0.0,31.98260498046875,11.740850448608398,35.273860931396484,40.81377029418945,32.63302993774414,40.75941467285156,42.503665924072266,33.488643646240234,0.3513539135456085,33.88673400878906,40.639137268066406,7.60045862197876,33.466949462890625,11.887454986572266,2.76041316986084,4.086528778076172,34.535423278808594,31.77440071105957,42.407371520996094,1.2453398704528809,5.869321823120117,5.979393482208252,40.781951904296875,36.02459716796875,30.67966651916504,10.541769027709961,32.192569732666016,46.419830322265625,33.376731872558594,40.799598693847656,33.529727935791016,0.7551865577697754,40.89632034301758,33.51786804199219,28.694801330566406,0.5357880592346191,33.7813835144043
ad32.pdb,12.300901412963867,32.02047348022461,27.122634887695312,12.411199569702148,29.915142059326172,11.984925270080566,24.6098575592041,23.386154174804688,1.8349308967590332,31.66838264465332,12.388731002807617,12.806458473205566,31.98260498046875,0.0,27.29178237915039,12.338714599609375,22.69436264038086,32.53363037109375,23.995595932006836,36.831947326660156,11.806560516357422,31.762683868408203,11.82487964630127,23.652353286743164,29.94277572631836,12.023324966430664,27.256994247436523,32.182861328125,30.98175048828125,12.295475959777832,25.593101501464844,36.92825698852539,31.787216186523438,29.998760223388672,30.151456832885742,23.802873611450195,12.62226676940918,36.216819763183594,24.766803741455078,0.47346651554107666,34.104286193847656,12.139223098754883,23.624074935913086,12.083982467651367,31.946306228637695,23.887296676635742,11.820656776428223,26.984066009521484,31.985366821289062,11.896657943725586
ad9.pdb,33.11506652832031,11.577953338623047,33.09974670410156,32.23539733886719,14.72087287902832,31.72452735900879,9.140488624572754,40.16250991821289,27.393911361694336,12.482434272766113,32.27653884887695,32.366455078125,11.740850448608398,27.29178237915039,0.0,32.26785659790039,39.87147521972656,38.13350296020508,40.15101623535156,46.879310607910156,30.338287353515625,11.680703163146973,30.701997756958008,40.19720458984375,16.048025131225586,30.347909927368164,1.8218352794647217,12.133044242858887,13.061394691467285,31.598318099975586,35.547054290771484,46.791961669921875,12.407309532165527,14.855737686157227,15.133711814880371,40.37818908691406,32.78773498535156,36.62668991088867,9.340913772583008,27.480716705322266,49.557804107666016,30.315834045410156,40.31175231933594,30.4049015045166,11.64803409576416,40.22149658203125,30.40460777282715,33.10554122924805,11.607817649841309,30.639522552490234
ad1.pdb,4.984942436218262,35.170894622802734,30.018596649169922,0.43669867515563965,32.06881332397461,1.458876132965088,30.795326232910156,12.777671813964844,12.159104347229004,34.67757034301758,0.4338459074497223,2.0351643562316895,35.273860931396484,12.338714599609375,32.26785659790039,0.0,11.374863624572754,33.034912109375,12.595601081848145,28.554683685302734,4.0059123039245605,34.98729705810547,3.6896841526031494,13.042143821716309,31.535152435302734,4.224015712738037,32.272953033447266,35.45111846923828,33.62874984741211,2.4620919227600098,27.783578872680664,28.513450622558594,35.11648178100586,32.181453704833984,32.3853645324707,13.181503295898438,4.2171430587768555,29.95039939880371,30.959531784057617,12.58685302734375,26.782751083374023,4.320888042449951,13.00034236907959,4.094778060913086,35.11367416381836,12.449071884155273,3.6767921447753906,29.921079635620117,35.17143630981445,3.83976411819458
ad31.pdb,11.514174461364746,40.6771354675293,33.69401931762695,11.37382984161377,36.89455795288086,12.113780975341797,38.28727340698242,6.454530715942383,22.46173095703125,40.1044921875,11.392169952392578,11.643377304077148,40.81377029418945,22.69436264038086,39.87147521972656,11.374863624572754,0.0,34.77667999267578,3.0717689990997314,22.13652801513672,13.03623104095459,40.5025634765625,12.743963241577148,6.457584857940674,35.81446075439453,12.904118537902832,39.934635162353516,40.963096618652344,38.87129211425781,11.680885314941406,31.053972244262695,21.994531631469727,40.59891891479492,36.958343505859375,37.080108642578125,6.439857006072998,11.755590438842773,26.97707748413086,38.41234588623047,22.915170669555664,21.0216121673584,12.862586975097656,6.421921253204346,12.827430725097656,40.58864212036133,2.7113325595855713,12.837546348571777,33.63253402709961,40.68764877319336,12.709676742553711
ad33.pdb,34.63899230957031,32.724971771240234,9.52541446685791,32.97469711303711,29.317636489868164,33.713897705078125,30.77522850036621,31.472003936767578,32.49607849121094,32.67916488647461,33.133174896240234,34.48221206665039,32.63302993774414,32.53363037109375,38.13350296020508,33.034912109375,34.77667999267578,0.0,33.81776428222656,26.668825149536133,33.17033386230469,32.45818328857422,33.13029479980469,31.309951782226562,29.356155395507812,33.06936264038086,38.06769561767578,33.224632263183594,31.781463623046875,32.87877655029297,10.367911338806152,26.948183059692383,31.671899795532227,29.32746696472168,29.266422271728516,31.33391761779785,32.81163787841797,25.330793380737305,30.65047264099121,32.620887756347656,25.03380584716797,32.935997009277344,31.43913459777832,33.124969482421875,32.63633346557617,34.053245544433594,32.96266174316406,9.664252281188965,32.71625900268555,33.09591293334961
ad10.pdb,13.521605491638184,40.590797424316406,33.39040756225586,12.56718921661377,36.70818328857422,13.386527061462402,38.513771057128906,4.577164649963379,23.7719669342041,39.99555969238281,12.62423038482666,13.030791282653809,40.75941467285156,23.995595932006836,40.15101623535156,12.595601081848145,3.0717689990997314,33.81776428222656,0.0,20.4832763671875,14.202571868896484,40.44111633300781,13.945436477661133,4.443593502044678,35.66120529174805,14.091957092285156,40.19001007080078,40.890052795410156,38.74769592285156,12.829278945922852,30.826141357421875,20.29759407043457,40.531036376953125,36.79902648925781,36.92548370361328,4.408336639404297,12.715340614318848,25.25909996032715,38.621028900146484,24.230310440063477,19.744619369506836,14.028759002685547,4.459534645080566,14.005712509155273,40.50831604003906,0.5741406083106995,13.948752403259277,33.34703826904297,40.613609313964844,13.916359901428223
ad2.pdb,30.246051788330078,42.38447952270508,30.93730354309082,28.438791275024414,37.6919059753418,29.298931121826172,43.361778259277344,19.77720069885254,36.682456970214844,41.74169921875,28.5723819732666,29.31943702697754,42.503665924072266,36.831947326660156,46.879310607910156,28.554683685302734,22.13652801513672,26.668825149536133,20.4832763671875,0.0,28.9066162109375,42.226409912109375,28.948877334594727,19.37077522277832,36.26084899902344,28.79302215576172,46.853824615478516,42.67974853515625,40.365928649902344,28.14190673828125,28.58857536315918,1.136484146118164,41.91572189331055,37.69810485839844,37.69429397583008,19.247785568237305,29.26348304748535,15.727507591247559,43.363712310791016,37.08076858520508,11.30423641204834,28.621444702148438,19.517345428466797,28.765771865844727,42.30620574951172,20.749481201171875,28.74081039428711,30.95647621154785,42.41294860839844,28.849594116210938
ad38.pdb,6.529594898223877,33.39124298095703,30.2705078125,3.8578174114227295,30.309844970703125,3.237659454345703,29.218116760253906,14.396454811096191,11.704700469970703,32.79158020019531,3.863077402114868,3.42724609375,33.488643646240234,11.806560516357422,30.338287353515625,4.0059123039245605,13.03623104095459,33.17033386230469,14.202571868896484,28.9066162109375,0.0,33.2084846496582,1.9634581804275513,14.655190467834473,29.608617782592773,1.8077317476272583,30.30864906311035,33.5319938659668,31.791269302368164,2.205122709274292,28.284740447998047,28.924942016601562,33.33155059814453,30.409589767456055,30.55890464782715,14.812649726867676,6.965458869934082,29.22430992126465,29.38126564025879,12.123826026916504,28.17993927001953,1.8400390148162842,14.62541389465332,1.783558964729309,33.32408142089844,14.112430572509766,0.8034960031509399,30.1752986907959,33.395843505859375,1.8978302478790283
ad49.pdb,36.05426025390625,0.7022489309310913,28.49302864074707,34.942867279052734,5.701494216918945,34.735191345214844,10.53236198425293,40.41682052612305,31.85505485534668,3.381843090057373,35.01925277709961,35.414222717285156,0.3513539135456085,31.762683868408203,11.680703163146973,34.98729705810547,40.5025634765625,32.45818328857422,40.44111633300781,42.226409912109375,33.2084846496582,0.0,33.60519027709961,40.32289123535156,7.393793106079102,33.18715286254883,11.822415351867676,2.8120336532592773,3.957893133163452,34.2501220703125,31.596782684326172,42.12836456298828,1.2935444116592407,5.689970016479492,5.787203788757324,40.46568298339844,35.73096466064453,30.409772872924805,10.480752944946289,31.97458267211914,46.1422004699707,33.096473693847656,40.48340606689453,33.24992752075195,0.5886374115943909,40.57910919189453,33.234962463378906,28.54083251953125,0.5180729031562805,33.50011444091797
ad43.pdb,6.023444652557373,33.79077911376953,30.21971893310547,3.566713809967041,30.783527374267578,2.967531204223633,29.568178176879883,13.982809066772461,11.461019515991211,33.29829788208008,3.58616042137146,3.3512344360351562,33.88673400878906,11.82487964630127,30.701997756958008,3.6896841526031494,12.743963241577148,33.13029479980469,13.945436477661133,28.948877334594727,1.9634581804275513,33.60519027709961,0.0,14.256340026855469,30.109651565551758,0.9024043083190918,30.76580810546875,33.95281219482422,32.296287536621094,2.3393304347991943,28.18450927734375,28.955799102783203,33.729862213134766,30.844560623168945,31.019264221191406,14.418135643005371,6.239978313446045,29.48723030090332,29.718523025512695,12.130183219909668,27.96795082092285,1.062632441520691,14.223431587219238,0.9919112920761108,33.72606658935547,13.843103408813477,1.722943663597107,30.121265411376953,33.79337692260742,0.29694825410842896
ad47.pdb,14.454949378967285,40.46760177612305,31.388458251953125,12.9811372756958,36.58238220214844,13.832228660583496,38.03005599975586,0.5658676624298096,23.38979721069336,39.95912170410156,13.077096939086914,13.73157787322998,40.639137268066406,23.652353286743164,40.19720458984375,13.042143821716309,6.457584857940674,31.309951782226562,4.443593502044678,19.37077522277832,14.655190467834473,40.32289123535156,14.256340026855469,0.0,35.672916412353516,14.414085388183594,40.24771499633789,40.784183502197266,38.733238220214844,13.267890930175781,28.839609146118164,19.300861358642578,40.325008392333984,36.67253875732422,36.821434020996094,0.361104279756546,12.543397903442383,24.55839729309082,38.1119270324707,23.866497039794922,17.762784957885742,14.335301399230957,0.36369389295578003,14.321077346801758,40.40487289428711,4.685662269592285,14.387964248657227,31.355484008789062,40.49947738647461,14.253365516662598
